歌曲名,专辑名,艺人名,歌曲译名
"I Guess I m Floating","Like Crazy (Music From The Motion Picture)",M83,
"Prelude 2","Prelude 2","Dustin O'Halloran",
"I see you",田原首张同名专辑,田原,
"Archaic Pattern","Must Correspond In Pattern",Eno,
Panacea,Canopy,"Silent Whale Becomes A° Dream",
"For a Friend","Something to Do With Death","The Allstar Project",
"Midnight, Moonlight And A Dark Romance","...Der Wie Ein Blitz Von Himmel Fiel...",Empyrium,
"Frédéric Chopin: 24 Préludes, Op.28 - XV. In D flat major (Raindrop)","Ultimate Classical Piano: The Essential Masterpieces","Vladimir Ashkenazy","肖邦：降D大调第15首前奏曲, Op.28 “雨点”"
"大龄文艺女青年之歌 (淡定版)",DEMO,邵夷贝,
"No Surprises (Live)","Jazz Channel",林宥嘉,
Kastljos,"Höldum í átt að óreiðu","For a Minor Reflection",
Depressie,Sehnsucht,Hypomanie,
Nostalgie,Sehnsucht,Hypomanie,
"Comforting Sounds",Frengers,Mew,
"As Walking On Canopy",Canopy,"Silent Whale Becomes A° Dream",
"In Silent Waters",Demo,Oak,
"The Dead Flag Blues (Intro)","F♯ A♯ ∞","Godspeed You! Black Emperor",
"Who Me?","Monsters And Robots",Buckethead,
Silence,Beauty,Vargo,
"Écailles De Lune Part I","BBC Live Session",Alcest,
"Circe Poisoning the Sea","Alcest / Les Discrets",Alcest,
"Percées De Lumière","Alcest / Les Discrets",Alcest,
"Always An Uncomfortable Silence","Anything That Comes To Mind",Epigram,
"Get On The Train",52赫兹,"The Verse",
周梦蝶,52赫兹,"The Verse",
52赫兹,52赫兹,"The Verse",
"Sons Of Ghosts","Mourning Golden Morning",Ef,
"Everlasting Light","Holy Ground: NYC Live With the Wordless Music Orchestra",MONO,
"Are You There?","Holy Ground: NYC Live With the Wordless Music Orchestra",MONO,
"Silent Flight, Sleeping Dawn","Holy Ground: NYC Live With the Wordless Music Orchestra",MONO,
"Drifting Through The Void","Drifting Through The Void","Svarti Loghin",
"Animal Fazenda","A Wishful Way",跳房子,
香奈儿,寓言,王菲,
"Monkey Bee","Journey to the West","Damon Albarn",
"Glasgow Mega-Snake","Special Moves",Mogwai,
Ode,"Walking Cloud and Deep Red Sky, Flag Fluttered and the Sun Shined",MONO,
"胡思乱想 (Live)",最精彩的演唱会,王菲,
"末日 (Live)",唱游大世界王菲香港演唱会98-99,王菲,
"只爱陌生人 (Live)",菲比寻常Live!,王菲,
"开到荼蘼 (Live)",菲比寻常Live!,王菲,
"将爱 (Live)",菲比寻常Live!,王菲,
"Give It Back","Lost In Transition","Sixpence None the Richer",
"Death Valley '69","Bad Moon Rising","Sonic Youth",
"Superstar (selected by Diablo Cody) ","Hits Are For Squares","Sonic Youth",
"Магратея мертва пять миллионов лет",1984,чаикастерх,
Taklamakan,"Death - Pierce Me",Silencer,
Helion,"Wedard / Nocturnal Depression",Wedard,
"Luguber Framtid",Dekadens,Lifelover,
Amfetamin,"En Studie I Ensamhet",Svartnad,
"La Traversée","Ariettes Oubliées...","Les Discrets",
"天涯歌女 (2003 Remix)",百代百年・重修旧好,周璇,
"夜上海 + 等着你回来 (2003 Remix)",百代百年・重修旧好,周璇;白光,
我们连觉也没睡决定连夜赶去拜访艾立克克莱普顿,"Demo 3",陈绮贞,
卖切糕,北京童谣,华语群星,
"得不到的爱情 (2003 Remix)",百代百年・重修旧好,姚莉,
"Let It Snow! Let It Snow! Let It Snow!","White Christmas","Rosemary Clooney",
"Cheek to Cheek","Sings the Music of Irving Berlin","Rosemary Clooney",
"永远的微笑 (1997 Digital Remaster)","DENON Mastersonic",周璇,
天涯歌女,与故人周璇于沙场上,周璇,
月圆花好,与故人周璇于沙场上,周璇,
"等着你回来 (2003 Remix)",百代百年・重修旧好,白光,
"Two Moons","For Long Tomorrow",toe,
"Say It Ain't So","For Long Tomorrow",toe,
夜来香,"上海老歌绝版珍藏系列: 李香兰与「三陈」",李香兰,
毕业歌,"上海老歌 1931-1949",袁牧之;陈波儿,
晚安曲,"上海老歌绝版珍藏系列: 周璇",周璇,
凤阳花鼓,"上海老歌绝版珍藏系列: 周璇",周璇,
"电台广播 花样年华","花样年华 电影原声大碟",周璇,
天涯歌女,"金片子 壹：天涯歌女",蔡琴,
凤阳花鼓,底里和宝罗,宝罗;陈弘礼,
襟上一朵花,与故人周璇于沙场上,周璇,
"I Believe in Your Victory","Young Mountain","This Will Destroy You",
"天涯歌女 (1997 Digital Remaster)","DENON Mastersonic",周璇,
"To The Skies From A Hillside","To The Skies From A Hillside",Maybeshewill,
Bilongo,"Romance Latino, Vol. 3",小野リサ,
Cheeze,"Young For You",GALA,大人物
Tennessee,"Young For You",GALA,田纳西
"En Studie I Ensamhet","En Studie I Ensamhet",Svartnad,
"Through the Past","Fragments Of Memories","Vitaliy Sytnik",
Ciao!,"Ciao! Best of Lush",Lush,
黑色梦中,黑梦,窦唯,"Black Dream"
流,"Ya Tung",张亚东,
春光,"Ya Tung",张亚东,
"I Will Still Be There",潜流,张亚东,
"Sweet Things",潜流,TiA,
世界尽头,潜流,朴树,
"2 Rights Make 1 Wrong","Rock Action",Mogwai,
"Take You Away","And The Boys","Angus & Julia Stone",
Communication,"Long Gone Before Daylight","The Cardigans",
Mother.September,"Fragments Of Memories","Vitaliy Sytnik",
"Sieve Of Eratosthenes","The Infinite Regress","Stubborn Tiny Lights VS Clustering Darkness Forever OK?",
最后的守望,昆明时间,奇怪的日子,
Leere,Wintersturm,Voluntaria,
"Young For You","Young For You",GALA,年轻
Innocentie,Hypomanie,Hypomanie,
"I Have The Moon",Topolino,Lush,
"City veins","Fragments Of Memories","Vitaliy Sytnik",
"The Path Home","With The Same Smile As Those Days",Lunaire,
Untitled,"The Halifax Pier","Halifax Pier",
"Hero of Twilight","Fatal Nostalgia","Fatal Nostalgia",
Flowers,"Sun Devoured Earth​/​Wounder","Sun Devoured Earth",
"orgel (Live) ","Live In Fukuoka 031409",小濑村晶,
"Linceul d'hiver","Ariettes Oubliées...","Les Discrets",
"Echappatoire divin","Sur le chemin de la délivrance","Eisiger Wald",
妈妈，我考试考100分,雨停了之后？,Selfkill,
"Trying Is the 1st Step Towards Failure","The Wink and The Gun","L'elan Vital",
"Monday Morning 5:19",Rialto,Rialto,
"Taijin Kyofusho",Golevka,"The Evpatoria Report",
Legend,"For My Parents",MONO,
Stream,Restraint,Arco,
"A Thousand Miles","Street Map","The Innocence Mission",
"Printemps Émeraude","Souvenirs d'Un Autre Monde",Alcest,
Halcyon,"Peel Session",MONO,
落木,沧浪星,沼泽,"Luo Mu"
1911第三回,1911,沼泽,
"Dragon in the Pool",0.7,惘闻,龙王塘
"Halcyon (Beautiful Days)","Walking Cloud and Deep Red Sky, Flag Fluttered and the Sun Shined",MONO,
"真的爱你 (Live)","Beyond Live 1991 生命接触演唱会",Beyond,
"爱情万岁 (Live)","天空之城 复出演唱会",五月天,
"The Portrait","Titanic (Music from the Motion Picture) (Collector's Anniversary Edition)","James Horner",
失踪,"is the way","Miss Woman",
"bonus track","is the way","Miss Woman",
"Touch Upon Touch","Splashed with Many a Speck","Cocteau Twins",
散落的时光,散落的时光,Cicada,Pieces
Serpentskirt,"Milk & Kisses","Cocteau Twins",
"Le Secret (2005)","Le Secret ",Alcest,
"Le Secret (2011)","Le Secret ",Alcest,
Elevation,"Le Secret",Alcest,
"Élévation (2005)","Le Secret ",Alcest,
"Élévation (2011)","Le Secret ",Alcest,
"Le Secret","Le Secret",Alcest,
造飞机的工厂,造飞机的工厂,张楚,
"A Million Parachutes","Divine Discontent","Sixpence None the Richer",
"Some Clear Joy Is Coming","Small Planes","The Innocence Mission",
"Driving at Night","Coming to Terms",Arco,
Copycat,"Bury the Hatchet","The Cranberries",
"Just My Imagination","Bury the Hatchet","The Cranberries",
"You And Me","Live In Paris 2010","The Cranberries",
"Fee Fi Fo","Bury the Hatchet","The Cranberries",
"Song About Traveling","Small Planes","The Innocence Mission",
Today,"Small Planes","The Innocence Mission",
"Dancing Queen","Best of Sixpence None the Richer","Sixpence None the Richer",
孩子气,"那些年, 我们一起追的女孩 电影原声带",陈妍希,
"Moon River","Music from the Films of Audrey Hepburn","Audrey Hepburn;Henry Mancini",
"Nobody’s A Nun Love (Live)","大人故事书 亚洲巡回演唱会影音全纪录",王若琳,
人生海海,"知足 最真杰作选",五月天,
各站停靠：,春·日光,苏打绿,
一颗心的距离,"Faces Of FanFan",范玮琪,
"Green Grass, Red Tree","Birds of My Neighborhood","The Innocence Mission",
Mile-Marker,"My Room in the Trees","The Innocence Mission",
"Gentle the Rain","My Room in the Trees","The Innocence Mission",
"Floral times","Floral Times",梁晓雪,
1987th,"Floral Times",梁晓雪,
Somebody,"Floral Times",梁晓雪,
Entropy,"Songs From The Rainwater","Velour 100",
"Tenth Month","Songs From The Rainwater","Velour 100",
"Sugar Hiccup","Sunburst and Snowblind","Cocteau Twins",
"Sugar Hiccup (Live) ","BBC Sessions","Cocteau Twins",
"Say Hello","All the Way from Michigan Not Mars","Rosie Thomas",
"Time Goes Away","If Songs Could Be Held","Rosie Thomas",
Charlotte,"When We Were Small","Rosie Thomas",
"Classic aftertaste Joanna  (Live)","大人故事书 亚洲巡回演唱会影音全纪录",王若琳,"迷宫+I Love You+有你的快乐+夜来香"
"爱我的请举手 (Live)","大人故事书 亚洲巡回演唱会影音全纪录",王若琳,
"Honey Power",Tremolo,"My Bloody Valentine",
"Heaven or Las Vegas (Album Version)","Heaven or Las Vegas","Cocteau Twins",
(失明前)我想记得的四十七件事,几米地下铁音乐剧原声带,陈绮贞,
Sometimes,Loveless,"My Bloody Valentine",
"Sunny Sundae Smile","Sunny Sundae Smile","My Bloody Valentine",
"Only Shallow",Loveless,"My Bloody Valentine",
十字路口,掀开后车厢,自然卷,
Tishbite,Tishbite,"Cocteau Twins",
"Flock Of Soul",Tishbite,"Cocteau Twins",
"Primitive Heart",Tishbite,"Cocteau Twins",
Songbird,"These Friends of Mine","Rosie Thomas",
离别的滂沱,"初恋红豆冰 电影原声带",原声带,
试探的初‧春,"初恋红豆冰 电影原声带",原声带,
"天空之城 (吟唱版)",红布绿花朵,小娟&山谷里的居民,
我爱上隔壁阿水家的二姑娘,"初恋红豆冰 电影原声带",阿牛,
纯文艺恋爱,"初恋红豆冰 电影原声带",阿牛,
"生日快乐 (主题曲演奏版)","生日快乐 电影原声大碟",原声带,
南洋咖啡‧店,"初恋红豆冰 电影原声带",原声带,
